inc_before_tax,ks_net_tax_liab_dol_chg_single,ks_net_tax_liab_dol_chg_mar0kids,ks_net_tax_liab_dol_chg_hoh2kids,ks_net_tax_liab_dol_chg_mar2kids
156012.5,-746.45605,-421.83105,-560.08105,-392.58105
156030.0,-746.5698,-421.94482,-560.1948,-392.69482
156047.5,-746.6836,-422.0586,-560.3086,-392.8086
156065.0,-746.79736,-422.17236,-560.42236,-392.92236
156082.5,-746.9116,-422.28662,-560.5366,-393.03662
156100.0,-747.0254,-422.4004,-560.6504,-393.1504
156117.5,-747.1387,-422.51367,-560.7637,-393.26367
156135.0,-747.25244,-422.62744,-560.87744,-393.37744
156152.5,-747.3662,-422.7412,-560.9912,-393.4912
156170.0,-747.48,-422.85498,-561.105,-393.60498
156187.5,-747.59375,-422.96875,-561.21875,-393.71875
156205.0,-747.7075,-423.08252,-561.3325,-393.83252
156222.5,-747.8213,-423.1963,-561.4463,-393.9463
156240.0,-747.93506,-423.31006,-561.56006,-394.06006
156257.5,-748.0488,-423.42383,-561.6738,-394.17383
156275.0,-748.1621,-423.5371,-561.7871,-394.2871
156292.5,-748.2759,-423.65088,-561.9009,-394.40088
156310.0,-748.39014,-423.76514,-562.01514,-394.51514
156327.5,-748.5039,-423.8789,-562.1289,-394.6289
156345.0,-748.6177,-423.99268,-562.2427,-394.74268
156362.5,-748.73145,-424.10645,-562.35645,-394.85645
156380.0,-748.8452,-424.2202,-562.4702,-394.9702
156397.5,-748.959,-424.33398,-562.584,-395.08398
156415.0,-749.07227,-424.44727,-562.69727,-395.19727
156432.5,-749.18604,-424.56104,-562.81104,-395.31104
156450.0,-749.2998,-424.6748,-562.9248,-395.4248
156467.5,-749.4136,-424.78857,-563.0386,-395.53857
156485.0,-749.52734,-424.90234,-563.15234,-395.65234
156502.5,-749.6411,-425.0161,-563.2661,-395.7661
156520.0,-749.7554,-425.13037,-563.3804,-395.88037
156537.5,-749.86914,-425.24414,-563.49414,-395.99414
156555.0,-749.9824,-425.35742,-563.6074,-396.10742
156572.5,-750.0962,-425.4712,-563.7212,-396.2212
156590.0,-750.20996,-425.58496,-563.83496,-396.33496
156607.5,-750.3237,-425.69873,-563.9487,-396.44873
156625.0,-750.4375,-425.8125,-564.0625,-396.5625
156642.5,-750.5513,-425.92627,-564.1763,-396.67627
156660.0,-750.66504,-426.04004,-564.29004,-396.79004
156677.5,-750.7788,-426.1538,-564.4038,-396.9038
156695.0,-750.8926,-426.26758,-564.5176,-397.01758
156712.5,-751.00586,-426.38086,-564.63086,-397.13086
