state,rain_pct,rain_dol,rain_color,totbal_pct,totbal_dol,totbal_color,totbal_rain_pct_dif
New Jersey,0.0,0.0,#D5AB53,14.086555760559175,7360.0,#3477A5,14.086555760559175
Washington,1.1069064727808722,312.4,#D5AB53,18.595957878027686,5248.299999999997,#3477A5,17.489051405246816
Illinois,1.654148587035528,751.0,#D5AB53,4.0307482214048145,1830.0,#3477A5,2.3765996343692866
Hawaii,3.684520039808197,325.8,#D5AB53,33.30305120781688,2944.7889999999998,#3477A5,29.61853116800868
New York,3.931625956549551,3319.0,#D5AB53,39.15397190172712,33053.0,#3477A5,35.222345945177565
Montana,4.286700330584518,118.0,#D5AB53,71.65334979329387,1972.4017597600005,#3477A5,67.36664946270935
Rhode Island,5.330159316994956,279.113537,#D5AB53,9.466316260947723,495.70319699999965,#3477A5,4.136156943952767
Maryland,5.477720226807431,1161.2,#D5AB53,31.416697329068903,6659.900000000001,#3477A5,25.93897710226147
Delaware,5.541825658870283,280.3,#D5AB53,51.511496866288375,2605.3999999999996,#3477A5,45.969671207418095
Louisiana,6.855597512934384,772.437585,#D5AB53,6.889987551536501,776.3123979999986,#3477A5,0.0343900386021172
Nevada,7.313558045989374,340.0,#D5AB53,40.22314812686874,1869.933933270001,#3477A5,32.90959008087937
Missouri,7.3751285943125255,772.1,#D5AB53,54.171136224480556,5671.160000000002,#3477A5,46.79600763016803
Pennsylvania,7.426217189645791,2866.0,#D5AB53,21.774674163708443,8403.5,#3477A5,14.348456974062653
Florida,7.599594717972699,2730.2,#D5AB53,67.583283229786,24279.7,#3477A5,59.983688511813305
Arizona,7.670501136283765,982.2,#D5AB53,42.88280267710016,5491.099999999999,#3477A5,35.21230154081639
Indiana,8.778856022634091,1616.6,#D5AB53,33.25984132242177,6124.700000000003,#3477A5,24.48098529978768
Wisconsin,8.947860058730331,1733.8,#D5AB53,31.13430047428097,6032.8,#3477A5,22.18644041555064
Tennessee,9.040483870027005,1550.0,#D5AB53,37.005908393651836,6344.700000000001,#3477A5,27.965424523624833
Mississippi,9.556674119302901,556.1,#D5AB53,9.632804431024708,560.5299999999985,#3477A5,0.07613031172180662
New Hampshire,9.948979591836734,159.9,#D5AB53,25.709308113489293,413.19999999999993,#3477A5,15.760328521652559
Virginia,10.019656736298257,2647.19330973,#D5AB53,27.93411547967449,7380.19330973,#3477A5,17.91445874337623
Ohio,10.044018201117897,2706.2,#D5AB53,34.34310443373887,9253.2,#3477A5,24.299086232620976
Utah,10.076208396508749,1033.2,#D5AB53,42.71856323917917,4380.300387,#3477A5,32.64235484267042
Iowa,10.221844684099079,830.3,#D5AB53,33.787610183680506,2744.5,#3477A5,23.565765499581428
Vermont,11.366246678666325,265.22,#D5AB53,18.96888660323989,442.61999999999966,#3477A5,7.602639924573566
Kansas,11.82499206949562,969.2,#EED17E,34.20853566286814,2803.7999999999984,#74AAC7,22.383543593372515
North Carolina,11.996889125027913,3116.0,#D5AB53,39.58549901052614,10281.699999999997,#3477A5,27.58860988549823
Oregon,12.156918905377548,1659.651044,#D5AB53,51.10051266341474,6976.193544669997,#3477A5,38.943593758037196
Minnesota,12.381253882672764,3218.345,#D5AB53,33.40473142483955,8683.123000000003,#3477A5,21.02347754216678
Michigan,13.191239960046557,1598.0,#D5AB53,60.619443458449226,7343.499999999998,#3477A5,47.42820349840267
Alabama,13.193957549875709,1449.0,#D5AB53,37.89370168361821,4161.600000000002,#3477A5,24.699744133742502
South Dakota,15.003908540160252,307.1,#D5AB53,20.6468633965214,422.6,#3477A5,5.642954856361149
Connecticut,16.028676886758227,3313.4,#D5AB53,16.028676886758227,3313.4,#3477A5,0.0
Oklahoma,16.419875843164654,1222.0,#D5AB53,57.00330547418773,4242.299999999999,#3477A5,40.58342963102307
Texas,16.790230862313052,10614.7,#D5AB53,42.390559874722186,26799.099999999995,#3477A5,25.600329012409134
Massachusetts,17.216170037384522,6937.5,#D5AB53,44.70523397911472,18014.60836275669,#3477A5,27.4890639417302
Colorado,18.645427125164897,3208.2999999999993,#D5AB53,18.645427125164897,3208.2999999999993,#3477A5,0.0
Kentucky,18.968630998076968,2495.57,#D5AB53,33.24468125536817,4373.770000000002,#3477A5,14.276050257291203
California,19.216213980357427,46684.700000000004,#D5AB53,20.976470419036517,50961.143000000004,#3477A5,1.7602564386790895
South Carolina,19.250528860682987,1847.3,#D5AB53,71.54885839038779,6865.9000000000015,#3477A5,52.2983295297048
Nebraska,19.852311643835616,927.5,#D5AB53,73.23630136986303,3421.6000000000004,#3477A5,53.38398972602741
Idaho,19.970574920778635,882.3,#D5AB53,26.878678134902646,1187.4999999999989,#3477A5,6.9081032141240115
West Virginia,20.181841194835883,956.7,#D5AB53,62.24580204202179,2950.7000000000007,#3477A5,42.06396084718591
Arkansas,20.720782329207413,1212.0,#D5AB53,45.912261505846956,2685.5,#3477A5,25.191479176639543
Maine,22.26831962685651,907.1,#D5AB53,23.093163127531614,940.7000000000004,#3477A5,0.8248435006751045
Georgia,22.413037331262846,5240.228297,#D5AB53,50.74790807995003,11864.997144460001,#3477A5,28.334870748687184
North Dakota,26.17101999124471,717.4,#D5AB53,61.15569823434994,1676.4000000000005,#3477A5,34.984678243105236
New Mexico,29.932702644762017,2734.418298410234,#D5AB53,34.8437052509692,3183.049200514999,#3477A5,4.911002606207184
Alaska,50.687391279950624,2709.9,#D5AB53,50.687391279950624,2709.9,#3477A5,0.0
Wyoming,95.78742709008425,1478.0,#D5AB53,95.78742709008425,1478.0,#3477A5,0.0
